Frm,Track,xc,yc,w,h,Velocity(kmph),dx,dy,angle,N,NE,E,SE,S,SW,W,NW,direction
1,1,2373,1324,95,128,0.0,,,,,,,,,,,,
2,1,2376,1331,94,128,22.1273516493192,3.0,7.0,1.1659045405098132,0.0,0.0,0.0,0.5155242336366264,1.0,0.48447576636337364,0.0,0.0,S
3,1,2378,1338,96,127,21.3210683388945,2.0,7.0,1.2924966677897853,0.0,0.0,0.0,0.35434213113161883,1.0,0.6456578688683812,0.0,0.0,S
4,1,2381,1347,96,129,26.4514618932269,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
5,1,2384,1356,97,129,28.123383735611,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
6,1,2387,1363,96,128,25.4954004649282,3.0,7.0,1.1659045405098132,0.0,0.0,0.0,0.5155242336366264,1.0,0.48447576636337364,0.0,0.0,S
7,1,2390,1371,95,130,25.4980900354634,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
8,1,2393,1379,94,130,25.4773104408942,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
9,1,2395,1387,94,128,25.0866711811175,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
10,1,2398,1395,94,128,25.1473052558537,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
11,1,2402,1403,94,130,25.5859519455196,4.0,8.0,1.1071487177940904,0.0,0.0,0.0,0.5903344706017332,1.0,0.40966552939826684,0.0,0.0,S
12,1,2405,1412,96,130,26.39773612108,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
13,1,2408,1420,97,130,26.1698931360958,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
14,1,2411,1428,94,130,25.9881028065598,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
15,1,2413,1437,94,130,26.354638354362,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
16,1,2416,1445,94,130,26.1500853527359,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
17,1,2419,1453,94,130,25.9792671345263,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
18,1,2422,1462,95,129,26.4498932703942,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
19,1,2425,1469,95,130,25.6622809642715,3.0,7.0,1.1659045405098132,0.0,0.0,0.0,0.5155242336366264,1.0,0.48447576636337364,0.0,0.0,S
20,1,2427,1477,95,130,25.378868172038,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
21,1,2430,1485,96,128,25.3102316900642,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
22,1,2433,1494,97,127,25.7817849048204,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
23,1,2436,1503,96,129,26.1855224712033,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
24,1,2438,1511,96,129,25.8669134674083,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
25,1,2441,1520,97,130,26.2350818398336,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
26,1,2444,1528,96,129,26.0687538788019,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
27,1,2447,1537,96,129,26.3957855541011,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
28,1,2449,1545,95,130,26.0597035709848,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
29,1,2450,1552,94,130,25.1706514322784,1.0,7.0,1.4288992721907328,0.0,0.0,0.0,0.180668941203466,1.0,0.819331058796534,0.0,0.0,S
30,1,2453,1560,96,131,25.0963499314435,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
31,1,2456,1569,97,130,25.4928423054899,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
32,1,2459,1577,96,131,25.3938987454927,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
33,1,2462,1585,94,131,25.3043216957701,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
34,1,2464,1594,95,131,25.549932877343,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
35,1,2467,1603,96,130,25.9023171370651,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
36,1,2470,1611,97,130,25.7679653246677,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
37,1,2474,1619,95,131,25.8352678987612,4.0,8.0,1.1071487177940904,0.0,0.0,0.0,0.5903344706017332,1.0,0.40966552939826684,0.0,0.0,S
38,1,2476,1627,95,131,25.5596001315566,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
39,1,2478,1635,96,131,25.3067910786345,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
40,1,2480,1644,97,131,25.543439096582,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
41,1,2482,1651,97,133,24.8305984816818,2.0,7.0,1.2924966677897853,0.0,0.0,0.0,0.35434213113161883,1.0,0.6456578688683812,0.0,0.0,S
42,1,2485,1660,96,133,25.2395074199417,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
43,1,2487,1669,94,132,25.4882870221927,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
44,1,2490,1677,93,130,25.3924640205927,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
45,1,2492,1685,94,132,25.162196829933,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
46,1,2495,1693,94,133,25.0956922230115,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
47,1,2498,1702,95,131,25.488974177923,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
48,1,2500,1710,96,132,25.2545031478264,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
49,1,2502,1719,96,131,25.5069238235171,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
50,1,2505,1728,94,130,25.8657903702636,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
51,1,2508,1736,93,130,25.7397790433928,3.0,8.0,1.2120256565243244,0.0,0.0,0.0,0.4568010048796325,1.0,0.5431989951203675,0.0,0.0,S
52,1,2510,1745,94,132,25.9456787941457,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
53,1,2512,1753,94,131,25.6646347576644,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
54,1,2515,1762,94,131,26.0000931768737,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
55,1,2518,1771,94,129,26.3044227476122,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
56,1,2520,1780,95,129,26.4501857491382,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
57,1,2522,1788,96,131,26.1115596126833,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
58,1,2524,1796,97,130,25.7977995808492,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
59,1,2526,1805,97,132,25.9757594849409,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
60,1,2529,1814,96,132,26.2654428775382,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
61,1,2531,1822,95,132,25.9332859134925,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
62,1,2534,1832,93,132,26.6786382341553,3.0,10.0,1.2793395323170296,0.0,0.0,0.0,0.37109431631096923,1.0,0.6289056836890308,0.0,0.0,S
63,1,2536,1841,93,132,26.7715908620014,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
64,1,2538,1849,92,131,26.3842122438658,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
65,1,2540,1858,92,132,26.4919373392368,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
66,1,2543,1867,92,131,26.7153186671727,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
67,1,2545,1875,94,132,26.3212053152211,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
68,1,2547,1884,94,132,26.4242131120443,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
69,1,2550,1893,94,131,26.6446487963243,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
70,1,2553,1903,93,131,27.3001129025453,3.0,10.0,1.2793395323170296,0.0,0.0,0.0,0.37109431631096923,1.0,0.6289056836890308,0.0,0.0,S
71,1,2555,1911,93,131,26.8426346777688,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
72,1,2557,1920,93,132,26.8850022717002,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
73,1,2560,1929,93,132,27.0479776932739,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
74,1,2562,1939,93,132,27.5334368894248,2.0,10.0,1.373400766945016,0.0,0.0,0.0,0.25133183275600457,1.0,0.7486681672439954,0.0,0.0,S
75,1,2565,1948,94,134,27.6303862624321,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
76,1,2567,1957,94,132,27.5833925425122,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
77,1,2570,1967,96,132,28.1181235688593,3.0,10.0,1.2793395323170296,0.0,0.0,0.0,0.37109431631096923,1.0,0.6289056836890308,0.0,0.0,S
78,1,2572,1975,97,133,27.5477193986505,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
79,1,2574,1984,96,135,27.4853359565068,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
80,1,2577,1994,95,134,28.0086532770339,3.0,10.0,1.2793395323170296,0.0,0.0,0.0,0.37109431631096923,1.0,0.6289056836890308,0.0,0.0,S
81,1,2580,2004,94,133,28.4813009037466,3.0,10.0,1.2793395323170296,0.0,0.0,0.0,0.37109431631096923,1.0,0.6289056836890308,0.0,0.0,S
82,1,2583,2013,94,132,28.4479298430757,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
83,1,2585,2022,93,132,28.2799971632943,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
84,1,2587,2031,94,133,28.1186634499233,2.0,9.0,1.3521273809209546,0.0,0.0,0.0,0.2784179490922557,1.0,0.7215820509077443,0.0,0.0,S
85,1,2590,2040,94,133,28.0932530120578,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
86,1,2593,2050,95,133,28.521946217815,3.0,10.0,1.2793395323170296,0.0,0.0,0.0,0.37109431631096923,1.0,0.6289056836890308,0.0,0.0,S
87,1,2596,2059,96,132,28.4512501125757,3.0,9.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
88,1,2599,2070,97,133,29.2973629948976,3.0,11.0,1.3045442776439713,0.0,0.0,0.0,0.33900263784572826,1.0,0.6609973621542717,0.0,0.0,S
89,1,2602,2080,96,135,29.601468922859,3.0,10.0,1.2793395323170296,0.0,0.0,0.0,0.37109431631096923,1.0,0.6289056836890308,0.0,0.0,S
90,1,2604,2088,96,134,28.8165036243706,2.0,8.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
91,1,2608,2095,95,128,28.0018011194999,4.0,7.0,1.0516502125483738,0.0,0.0,0.0,0.6609973621542715,1.0,0.33900263784572854,0.0,0.0,S
92,1,2610,2101,95,119,26.4221149437809,2.0,6.0,1.2490457723982544,0.0,0.0,0.0,0.40966552939826684,1.0,0.5903344706017332,0.0,0.0,S
93,1,2611,2106,94,109,24.3972576123161,1.0,5.0,1.373400766945016,0.0,0.0,0.0,0.25133183275600457,1.0,0.7486681672439954,0.0,0.0,S
94,1,2613,2111,94,101,22.7017658884152,2.0,5.0,1.1902899496825317,0.0,0.0,0.0,0.48447576636337364,1.0,0.5155242336366264,0.0,0.0,S
95,1,2615,2115,92,90,20.7443442396173,2.0,4.0,1.1071487177940904,0.0,0.0,0.0,0.5903344706017332,1.0,0.40966552939826684,0.0,0.0,S
96,1,2616,2119,90,80,18.8278765418675,1.0,4.0,1.3258176636680326,0.0,0.0,0.0,0.31191652150947713,1.0,0.6880834784905229,0.0,0.0,S
